ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,20050509,771.082,803.668,806.508,770.859,802.279,-31.197,-3.8885,964443.6,425784.603
000852.SH,20050510,773.196,767.784,773.196,746.652,771.082,2.114,0.2742,1178146.43,505434.743
000852.SH,20050511,772.078,771.406,781.298,766.404,773.196,-1.118,-0.1446,1120796.49,479967.91
000852.SH,20050512,769.018,772.158,778.228,761.263,772.078,-3.06,-0.3963,1246417.57,534120.692
000852.SH,20050513,779.491,766.125,780.406,764.34,769.018,10.473,1.3619,1221495.31,490752.675
000852.SH,20050516,776.542,778.481,778.481,770.589,779.491,-2.949,-0.3783,935839.31,367417.173
000852.SH,20050517,785.44,775.239,788.68,770.826,776.542,8.898,1.1458,1180189.42,442305.203
000852.SH,20050518,794.572,785.245,794.759,780.584,785.44,9.132,1.1627,1222897.79,451754.59
000852.SH,20050519,794.49,795.206,798.106,783.64,794.572,-0.082,-0.0103,1074998.83,399518.937
000852.SH,20050520,787.901,794.711,797.344,787.566,794.49,-6.589,-0.8293,1226793.16,455450.467
000852.SH,20050523,758.679,784.476,784.476,757.722,787.901,-29.222,-3.7088,1179870.5,441954.036
000852.SH,20050524,777.766,756.407,782.261,753.405,758.679,19.087,2.5158,1111553.37,410880.546
000852.SH,20050525,781.991,778.169,788.771,773.476,777.766,4.225,0.5432,1190658.14,443233.797
000852.SH,20050526,772.871,781.519,784.457,770.658,781.991,-9.12,-1.1663,1109768.03,431461.974
000852.SH,20050527,767.274,771.069,783.105,766.364,772.871,-5.597,-0.7242,1021733.32,393685.346
000852.SH,20050530,776.405,764.931,777.651,761.477,767.274,9.131,1.1901,838625.7,326290.531
000852.SH,20050531,775.742,776.24,779.819,772.612,776.405,-0.663,-0.0854,981839.04,353959.125
000852.SH,20050601,760.507,775.549,775.549,755.932,775.742,-15.235,-1.9639,1080148.58,381718.954
000852.SH,20050602,756.823,759.99,764.546,752.324,760.507,-3.684,-0.4844,1086313.67,432562.431
000852.SH,20050603,756.907,755.929,762.25,747.063,756.823,0.084,0.0111,1023605.5,374196.635
000852.SH,20050606,766.725,755.118,766.807,743.672,756.907,9.818,1.2971,895900.44,339938.141
000852.SH,20050607,767.906,767.275,780.691,763.671,766.725,1.181,0.154,1412035.28,550749.531
000852.SH,20050608,826.234,770.456,830.129,770.083,767.906,58.328,7.5957,3303475.14,1344156.946
000852.SH,20050609,836.831,825.584,848.341,815.379,826.234,10.597,1.2826,3542474.9,1527252.983
000852.SH,20050610,819.996,836.536,837.068,815.806,836.831,-16.835,-2.0118,2389042.11,999372.28
000852.SH,20050613,825.872,821.898,828.709,810.453,819.996,5.876,0.7166,1862176.62,761135.562
000852.SH,20050614,807.356,826.622,832.191,807.164,825.872,-18.516,-2.242,1662562.24,656711.12
000852.SH,20050615,788.292,805.592,805.592,786.847,807.356,-19.064,-2.3613,1486633.27,604650.694
000852.SH,20050616,797.426,787.501,797.529,778.747,788.292,9.134,1.1587,1402971.32,646654.999
000852.SH,20050617,790.55,799.166,801.794,786.989,797.426,-6.876,-0.8623,1249846.14,572136.372
000852.SH,20050620,813.122,790.113,813.225,777.654,790.55,22.572,2.8552,1636025.42,771198.235
000852.SH,20050621,806.023,813.873,814.998,803.072,813.122,-7.099,-0.8731,1425905.99,709413.863
000852.SH,20050622,810.029,804.628,810.932,799.181,806.023,4.006,0.497,1414657.34,685017.017
000852.SH,20050623,796.051,807.94,809.024,794.542,810.029,-13.978,-1.7256,1331881.35,623194.286
000852.SH,20050624,799.695,793.827,800.029,789.899,796.051,3.644,0.4578,1392793.44,587928.511
000852.SH,20050627,822.881,804.253,828.185,804.253,799.695,23.186,2.8994,2284130.28,1095622.308
000852.SH,20050628,807.644,820.976,820.976,805.857,822.881,-15.237,-1.8517,1413534.88,665625.889
000852.SH,20050629,805.097,809.284,812.729,804.081,807.644,-2.547,-0.3154,1321964.84,732784.502
000852.SH,20050630,781.826,804.459,804.459,781.709,805.097,-23.271,-2.8905,1542577.22,735475.457
000852.SH,20050701,743.115,779.478,779.478,742.127,781.826,-38.711,-4.9514,1872582.87,702594.686
000852.SH,20050704,734.952,736.664,736.664,712.701,743.115,-8.163,-1.0985,1602784.14,564432.89
000852.SH,20050705,729.359,732.538,738.874,722.221,734.952,-5.593,-0.761,1188659.59,450293.423
000852.SH,20050706,727.061,729.282,735.967,721.416,729.359,-2.298,-0.3151,1105248.6,393261.799
000852.SH,20050707,732.049,726.929,737.01,723.956,727.061,4.988,0.686,1078282.11,389995.711
000852.SH,20050708,706.735,730.577,730.577,706.299,732.049,-25.314,-3.458,1277682.06,442762.306
000852.SH,20050711,694.828,709.047,726.189,693.621,706.735,-11.907,-1.6848,1264472.0,449318.654
000852.SH,20050712,720.565,691.282,722.135,685.776,694.828,25.737,3.7041,1663751.33,603814.605
000852.SH,20050713,711.951,718.905,719.747,708.638,720.565,-8.614,-1.1955,1414119.19,511701.172
000852.SH,20050714,711.583,711.089,719.467,708.369,711.951,-0.368,-0.0517,1228525.46,446974.496
000852.SH,20050715,690.491,712.134,716.43,688.689,711.583,-21.092,-2.9641,1296857.37,444388.21
000852.SH,20050718,669.029,688.09,688.09,665.871,690.491,-21.462,-3.1082,1057003.53,332422.637
000852.SH,20050719,677.02,667.764,677.917,663.347,669.029,7.991,1.1944,920325.61,284559.898
000852.SH,20050720,682.122,677.202,685.565,671.734,677.02,5.102,0.7536,950536.98,311396.313
000852.SH,20050721,679.019,682.974,683.234,668.027,682.122,-3.103,-0.4549,1111501.75,365433.595
000852.SH,20050722,694.294,678.725,701.142,677.555,679.019,15.275,2.2496,2102000.59,701950.159
000852.SH,20050725,692.388,694.036,694.036,686.519,694.294,-1.906,-0.2745,1376345.29,459486.461
000852.SH,20050726,709.097,691.501,709.097,691.047,692.388,16.709,2.4132,2025920.8,675867.839
000852.SH,20050727,724.045,708.669,724.045,702.751,709.097,14.948,2.108,2125089.58,715209.381
000852.SH,20050728,725.806,723.711,734.166,719.928,724.045,1.761,0.2432,2465034.13,841662.097
000852.SH,20050729,722.873,724.805,727.08,717.529,725.806,-2.933,-0.4041,1771571.3,570055.299
000852.SH,20050801,729.902,721.492,729.99,720.347,722.873,7.029,0.9724,1372699.56,463927.868
000852.SH,20050802,744.005,730.333,744.005,725.621,729.902,14.103,1.9322,2031681.97,665930.188
000852.SH,20050803,751.893,745.664,763.3,743.337,744.005,7.888,1.0602,2966003.7,996171.562
000852.SH,20050804,747.568,750.608,750.741,744.11,751.893,-4.325,-0.5752,2223620.64,738947.348
000852.SH,20050805,772.151,747.995,772.221,747.885,747.568,24.583,3.2884,2794786.04,1067114.199
000852.SH,20050808,783.726,777.96,789.477,772.655,772.151,11.575,1.4991,3337860.41,1302421.551
000852.SH,20050809,799.411,786.079,799.455,778.517,783.726,15.685,2.0013,2962722.16,1117354.503
000852.SH,20050810,809.459,799.096,809.471,788.689,799.411,10.048,1.2569,3183349.79,1231208.833
000852.SH,20050811,817.621,811.742,819.153,805.203,809.459,8.162,1.0083,3364643.22,1328094.918
000852.SH,20050812,803.443,818.995,827.338,799.167,817.621,-14.178,-1.7341,4008386.56,1640795.58
000852.SH,20050815,830.344,803.655,830.537,803.366,803.443,26.901,3.3482,3061160.98,1369878.619
000852.SH,20050816,833.485,832.394,838.757,824.86,830.344,3.141,0.3783,3869609.1,1586111.071
000852.SH,20050817,857.657,833.351,857.657,818.786,833.485,24.172,2.9001,4535422.42,1824464.821
000852.SH,20050818,826.424,859.074,878.129,825.837,857.657,-31.233,-3.6417,5862568.58,2289080.939
000852.SH,20050819,827.464,821.765,833.294,804.281,826.424,1.04,0.1258,4342307.31,1649883.795
000852.SH,20050822,836.515,825.516,838.06,817.692,827.464,9.051,1.0938,2593216.94,980388.313
000852.SH,20050823,819.17,834.934,834.934,808.25,836.515,-17.345,-2.0735,2588825.06,975577.025
000852.SH,20050824,830.999,818.846,831.321,815.761,819.17,11.829,1.444,2841418.16,1104328.98
000852.SH,20050825,843.884,831.369,843.933,827.024,830.999,12.885,1.5505,2971158.34,1098063.72
000852.SH,20050826,848.024,845.091,851.539,838.333,843.884,4.14,0.4906,3096152.86,1131856.548
000852.SH,20050829,842.154,848.137,850.816,832.186,848.024,-5.87,-0.6922,3013695.42,1042912.896
000852.SH,20050830,832.523,840.333,842.601,832.523,842.154,-9.631,-1.1436,2501182.82,870606.837
000852.SH,20050831,850.734,831.004,850.946,823.709,832.523,18.211,2.1874,2720483.3,1029056.5
000852.SH,20050901,870.712,850.255,871.442,846.453,850.734,19.978,2.3483,3656856.91,1435124.532
000852.SH,20050902,880.862,872.608,882.642,868.45,870.712,10.15,1.1657,3867123.49,1593195.828
000852.SH,20050905,891.156,882.74,891.223,877.607,880.862,10.294,1.1686,3080218.39,1260970.437
000852.SH,20050906,864.926,893.591,898.551,862.821,891.156,-26.23,-2.9434,3922936.59,1524541.773
000852.SH,20050907,893.582,864.139,893.591,858.816,864.926,28.656,3.3131,3569207.2,1382778.526
000852.SH,20050908,897.373,896.169,899.885,881.57,893.582,3.791,0.4242,4084904.21,1658707.26
000852.SH,20050909,887.997,897.41,901.95,882.378,897.373,-9.376,-1.0448,2915857.87,1308567.122
000852.SH,20050912,894.159,888.839,894.208,883.784,887.997,6.162,0.6939,2051689.09,851360.325
000852.SH,20050913,915.497,895.052,915.497,893.68,894.159,21.338,2.3864,3154642.41,1293907.714
000852.SH,20050914,927.815,916.876,927.953,913.101,915.497,12.318,1.3455,4268347.54,1763720.812
000852.SH,20050915,929.952,926.864,932.748,921.179,927.815,2.137,0.2303,3664611.28,1487963.721
000852.SH,20050916,930.411,929.076,931.714,919.401,929.952,0.459,0.0494,2966946.61,1199301.927
000852.SH,20050919,947.902,932.579,947.902,930.794,930.411,17.491,1.8799,3633007.53,1444083.872
000852.SH,20050920,947.284,950.666,951.704,936.322,947.902,-0.618,-0.0652,4708887.34,1937759.487
000852.SH,20050921,933.812,942.734,946.028,933.448,947.284,-13.472,-1.4222,4306509.65,1678298.826
000852.SH,20050922,892.077,927.845,929.013,879.435,933.812,-41.735,-4.4693,3858553.85,1573801.694
000852.SH,20050923,874.667,885.937,895.149,874.667,892.077,-17.41,-1.9516,2470351.98,995592.681
000852.SH,20050926,884.285,873.949,884.516,868.281,874.667,9.618,1.0996,1885136.72,773078.352
000852.SH,20050927,859.634,884.26,887.34,859.43,884.285,-24.651,-2.7877,2418509.75,990144.084
000852.SH,20050928,857.46,857.588,868.151,854.1,859.634,-2.174,-0.2529,2012547.22,827741.349
000852.SH,20050929,876.566,855.552,876.782,855.552,857.46,19.106,2.2282,2373054.77,985107.807
000852.SH,20050930,870.957,876.916,876.916,869.233,876.566,-5.609,-0.6399,2025483.49,832712.928
000852.SH,20051010,859.077,870.245,870.245,857.134,870.957,-11.88,-1.364,1803455.86,770687.319
000852.SH,20051011,879.88,857.27,880.133,853.722,859.077,20.803,2.4216,1886938.18,804656.763
000852.SH,20051012,889.599,880.107,893.635,875.347,879.88,9.719,1.1046,2047171.42,902707.861
000852.SH,20051013,886.077,890.437,893.379,882.204,889.599,-3.522,-0.3959,2161941.92,908068.096
000852.SH,20051014,876.262,884.322,884.723,873.112,886.077,-9.815,-1.1077,1851454.16,808059.555
000852.SH,20051017,879.27,873.788,879.679,866.64,876.262,3.008,0.3433,1669485.2,734293.887
000852.SH,20051018,897.454,878.938,897.656,878.938,879.27,18.184,2.0681,2479574.81,1071856.805
000852.SH,20051019,891.35,897.727,906.305,889.939,897.454,-6.104,-0.6801,2784692.22,1166554.165
000852.SH,20051020,891.058,891.152,891.537,874.258,891.35,-0.292,-0.0328,2275535.22,960674.093
000852.SH,20051021,897.639,891.325,902.332,888.024,891.058,6.581,0.7386,2265740.8,969685.846
000852.SH,20051024,897.355,896.579,899.72,890.94,897.639,-0.284,-0.0316,1946045.17,850824.061
000852.SH,20051025,876.636,896.215,896.215,876.484,897.355,-20.719,-2.3089,2040043.84,828771.098
000852.SH,20051026,853.183,875.05,876.088,852.396,876.636,-23.453,-2.6753,2267515.4,921658.708
000852.SH,20051027,837.336,848.861,853.462,831.335,853.183,-15.847,-1.8574,2108943.05,838593.315
000852.SH,20051028,806.557,839.368,839.368,794.016,837.336,-30.779,-3.6758,2080815.0,796798.363
000852.SH,20051031,812.452,803.012,815.651,799.605,806.557,5.895,0.7309,1612590.21,606313.477
000852.SH,20051101,804.35,810.971,810.971,789.019,812.452,-8.102,-0.9972,1723265.44,656172.119
000852.SH,20051102,826.51,804.153,828.83,804.153,804.35,22.16,2.755,2251458.31,881710.11
000852.SH,20051103,818.951,826.037,830.389,813.847,826.51,-7.559,-0.9146,1925940.95,731399.545
000852.SH,20051104,826.766,818.207,827.21,808.89,818.951,7.815,0.9543,1674602.37,673501.573
000852.SH,20051107,837.67,827.48,837.908,823.151,826.766,10.904,1.3189,1596636.54,646260.852
000852.SH,20051108,846.564,837.899,846.912,831.203,837.67,8.894,1.0618,1795778.27,714815.824
000852.SH,20051109,842.774,847.166,851.601,842.704,846.564,-3.79,-0.4477,2168394.15,963247.19
000852.SH,20051110,816.009,841.52,841.52,815.435,842.774,-26.765,-3.1758,2375131.79,1010760.099
000852.SH,20051111,822.673,814.293,828.691,810.628,816.009,6.664,0.8167,1747338.31,679645.65
000852.SH,20051114,827.478,820.643,827.478,816.91,822.673,4.805,0.5841,1384955.16,551989.715
000852.SH,20051115,821.064,827.423,833.818,815.591,827.478,-6.414,-0.7751,1533962.1,624105.408
000852.SH,20051116,827.588,820.294,827.739,805.369,821.064,6.524,0.7946,1391521.37,557275.655
000852.SH,20051117,828.645,827.171,832.994,823.338,827.588,1.057,0.1277,1427822.45,555353.823
000852.SH,20051118,848.778,827.198,850.843,826.902,828.645,20.133,2.4296,2661333.72,1096849.56
000852.SH,20051121,855.432,851.655,856.394,848.717,848.778,6.654,0.784,1937010.52,786354.021
000852.SH,20051122,833.585,854.888,855.191,833.584,855.432,-21.847,-2.5539,1775171.64,669794.203
000852.SH,20051123,841.307,832.103,841.905,828.405,833.585,7.722,0.9264,1397492.73,561794.125
000852.SH,20051124,845.476,840.108,847.567,839.034,841.307,4.169,0.4955,1599367.07,651312.788
000852.SH,20051125,847.343,845.831,847.589,841.111,845.476,1.867,0.2208,1456071.39,568390.703
000852.SH,20051128,846.429,849.191,850.819,842.086,847.343,-0.914,-0.1079,1406013.57,572539.966
000852.SH,20051129,835.306,847.094,847.238,834.842,846.429,-11.123,-1.3141,1568068.09,652126.541
000852.SH,20051130,839.24,835.538,839.246,829.604,835.306,3.934,0.471,1810034.56,823700.429
000852.SH,20051201,835.386,839.537,841.204,830.445,839.24,-3.854,-0.4592,1348588.76,575177.234
000852.SH,20051202,821.715,834.071,834.686,819.075,835.386,-13.671,-1.6365,1370138.77,563692.023
000852.SH,20051205,794.322,821.08,821.08,793.523,821.715,-27.393,-3.3336,1441804.8,565021.948
000852.SH,20051206,796.987,792.213,800.002,788.0,794.322,2.665,0.3355,1070777.12,404399.835
000852.SH,20051207,805.528,796.987,805.617,795.436,796.987,8.541,1.0717,1088952.5,408605.807
000852.SH,20051208,802.541,805.988,807.821,797.753,805.528,-2.987,-0.3708,1198641.4,419812.723
000852.SH,20051209,816.955,802.659,818.106,799.27,802.541,14.414,1.796,1352711.8,523687.388
000852.SH,20051212,823.324,818.449,825.05,815.254,816.955,6.369,0.7796,1378173.94,513184.194
000852.SH,20051213,822.533,823.337,823.337,812.246,823.324,-0.791,-0.0961,1054002.14,410254.324
000852.SH,20051214,831.797,822.533,832.093,816.844,822.533,9.264,1.1263,1321135.72,531022.128
000852.SH,20051215,824.607,831.637,835.818,823.764,831.797,-7.19,-0.8644,1284669.67,512367.992
