ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20100826,980.63,978.598,984.868,973.002,976.878,3.752,0.3841,1700767.73,6245785.6844
399006.SZ,20100827,999.456,978.514,1000.861,975.72,980.63,18.826,1.9198,2173480.53,7887761.3268
399006.SZ,20100830,1024.928,1002.987,1025.153,1002.987,999.456,25.472,2.5486,2358186.11,8501815.3154
399006.SZ,20100831,1025.57,1020.747,1029.802,1015.133,1024.928,0.642,0.0626,2175334.98,8054545.1782
399006.SZ,20100901,995.586,1025.678,1029.805,987.588,1025.57,-29.984,-2.9236,2400153.23,8763611.3408
399006.SZ,20100902,1014.922,1001.597,1018.275,996.524,995.586,19.336,1.9422,2758003.93,11048559.0013
399006.SZ,20100903,1036.703,1017.637,1045.213,1017.51,1014.922,21.781,2.1461,3186012.86,12468598.8529
399006.SZ,20100906,1010.764,1039.464,1043.24,1007.426,1036.703,-25.939,-2.5021,2546962.65,9852694.8847
399006.SZ,20100907,1022.622,1010.115,1022.622,1007.637,1010.764,11.858,1.1732,1686002.14,6571730.3234
399006.SZ,20100908,1026.327,1020.229,1027.637,1016.836,1022.622,3.705,0.3623,1801644.08,6577840.8276
399006.SZ,20100909,1021.832,1029.106,1040.67,1019.688,1026.327,-4.495,-0.438,2365284.22,8209269.7173
399006.SZ,20100910,1034.939,1021.874,1037.511,1016.191,1021.832,13.107,1.2827,2210901.08,7388107.4367
399006.SZ,20100913,1042.482,1034.39,1045.39,1033.254,1034.939,7.543,0.7288,2010292.9,6899539.0982
399006.SZ,20100914,1031.219,1044.302,1046.132,1028.769,1042.482,-11.263,-1.0804,1940841.61,6968657.9599
399006.SZ,20100915,990.103,1029.52,1030.021,987.049,1031.219,-41.116,-3.9871,2216464.28,7937956.4627
399006.SZ,20100916,972.602,989.488,994.954,964.528,990.103,-17.501,-1.7676,1717924.09,5902965.8732
399006.SZ,20100917,972.229,976.071,981.728,967.555,972.602,-0.373,-0.0384,1450030.98,5395687.663
399006.SZ,20100920,949.195,972.445,975.262,947.414,972.229,-23.034,-2.3692,1292681.87,4638370.6922
399006.SZ,20100921,934.461,952.072,953.834,930.248,949.195,-14.734,-1.5523,1107187.93,3685261.1445
399006.SZ,20100927,950.671,936.213,951.837,930.865,934.461,16.21,1.7347,1079437.14,3608369.9172
399006.SZ,20100928,942.049,949.631,949.889,939.631,950.671,-8.622,-0.9069,1666173.25,6756897.3583
399006.SZ,20100929,926.758,941.268,944.174,924.415,942.049,-15.291,-1.6232,1230242.19,4512222.7231
399006.SZ,20100930,942.539,923.825,942.539,921.357,926.758,15.781,1.7028,1099209.82,3967678.3603
399006.SZ,20101008,959.863,946.469,963.18,945.618,942.539,17.324,1.838,1511188.2,5272913.5196
399006.SZ,20101011,947.11,960.913,961.173,941.912,959.863,-12.753,-1.3286,1852470.22,6479456.3387
399006.SZ,20101012,951.79,946.626,959.976,945.011,947.11,4.68,0.4941,1510895.52,5054330.3306
399006.SZ,20101013,962.738,951.326,962.738,940.645,951.79,10.948,1.1503,2209485.6,7669941.9039
399006.SZ,20101014,958.495,963.286,975.907,956.864,962.738,-4.243,-0.4407,1994136.21,6996953.5893
399006.SZ,20101015,944.254,954.117,957.769,937.12,958.495,-14.241,-1.4858,1884787.78,6403269.9773
399006.SZ,20101018,932.359,941.874,941.874,913.816,944.254,-11.895,-1.2597,1787335.52,5975260.0527
399006.SZ,20101019,995.922,932.826,1005.591,932.323,932.359,63.563,6.8174,3333809.5,11780277.4471
399006.SZ,20101020,1004.542,986.654,1024.579,986.033,995.922,8.62,0.8655,3438174.61,11730252.4576
399006.SZ,20101021,991.842,1001.682,1001.682,983.656,1004.542,-12.7,-1.2643,2161944.85,7155691.3912
399006.SZ,20101022,1013.448,991.135,1023.703,991.135,991.842,21.606,2.1784,2377733.86,8008473.6844
399006.SZ,20101025,1039.054,1018.084,1043.087,1018.084,1013.448,25.606,2.5266,2729464.36,9349804.4611
399006.SZ,20101026,1036.007,1041.532,1041.914,1020.942,1039.054,-3.047,-0.2932,2967923.66,11256502.9012
399006.SZ,20101027,1030.593,1034.864,1048.556,1028.696,1036.007,-5.414,-0.5226,2443831.03,8963388.2408
399006.SZ,20101028,1038.622,1024.697,1038.622,1023.492,1030.593,8.029,0.7791,2269392.54,8471493.6933
399006.SZ,20101029,1064.522,1042.401,1069.754,1042.401,1038.622,25.9,2.4937,3097404.97,11544181.6069
399006.SZ,20101101,1107.523,1071.628,1113.623,1071.628,1064.522,43.001,4.0395,3754825.0,14242636.5925
399006.SZ,20101102,1075.151,1108.093,1108.093,1074.58,1107.523,-32.372,-2.9229,3292637.36,12447464.0419
399006.SZ,20101103,1040.621,1063.2,1063.2,1040.548,1075.151,-34.53,-3.2116,2224595.64,8194693.4333
399006.SZ,20101104,1057.714,1041.419,1057.714,1037.239,1040.621,17.093,1.6426,1759113.47,6392806.9438
399006.SZ,20101105,1072.219,1067.873,1072.219,1058.259,1057.714,14.505,1.3714,2237335.23,8252892.1183
