ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20040102,1011.347,996.996,1021.568,993.892,1000.0,11.347,1.1347,8064653.0,5742758.967
000016.SH,20040105,1060.801,1008.279,1060.898,1008.279,1011.347,49.454,4.8899,14468180.0,10706463.941
000016.SH,20040106,1075.656,1059.141,1086.694,1059.095,1060.801,14.855,1.4004,16991334.0,12416997.345
000016.SH,20040107,1086.303,1075.562,1095.841,1070.98,1075.656,10.647,0.9898,13729419.0,10352534.788
000016.SH,20040108,1102.662,1087.68,1108.291,1082.509,1086.303,16.359,1.5059,10780427.0,8188926.758
000016.SH,20040109,1081.785,1105.77,1115.461,1079.072,1102.662,-20.877,-1.8933,13467442.0,10548445.392
000016.SH,20040112,1116.799,1081.807,1117.505,1079.773,1081.785,35.014,3.2367,10233943.0,8376568.721
000016.SH,20040113,1102.341,1120.149,1123.656,1089.633,1116.799,-14.458,-1.2946,9837189.0,7989281.144
000016.SH,20040114,1079.72,1101.445,1101.666,1076.869,1102.341,-22.621,-2.0521,7120499.0,5343577.668
000016.SH,20040115,1073.977,1078.533,1088.67,1070.727,1079.72,-5.743,-0.5319,6179207.0,4755875.01
000016.SH,20040116,1083.652,1076.636,1087.817,1067.847,1073.977,9.675,0.9009,7174167.0,5520318.13
000016.SH,20040129,1100.604,1086.657,1101.027,1084.455,1083.652,16.952,1.5643,5791230.0,4529581.998
000016.SH,20040130,1067.553,1102.17,1103.699,1066.445,1100.604,-33.051,-3.003,7761118.0,5943973.87
000016.SH,20040202,1091.729,1107.49,1116.314,1069.967,1067.553,24.176,2.2646,15432922.0,11668205.473
000016.SH,20040203,1102.954,1091.865,1103.244,1084.391,1091.729,11.225,1.0282,8411107.0,6827915.398
000016.SH,20040204,1128.443,1104.74,1130.139,1104.74,1102.954,25.489,2.311,10534990.0,8915089.429
000016.SH,20040205,1127.897,1135.616,1136.423,1118.168,1128.443,-0.546,-0.0484,9774314.0,8521830.2
000016.SH,20040206,1122.084,1125.488,1139.088,1108.909,1127.897,-5.813,-0.5154,11140337.0,9086959.709
000016.SH,20040209,1134.611,1122.285,1134.91,1122.275,1122.084,12.527,1.1164,8598305.0,7038850.173
000016.SH,20040210,1120.961,1137.717,1141.994,1116.929,1134.611,-13.65,-1.2031,8662780.0,7084279.413
000016.SH,20040211,1110.061,1121.807,1123.769,1100.237,1120.961,-10.9,-0.9724,9246320.0,7161101.296
000016.SH,20040212,1094.112,1110.835,1122.482,1092.293,1110.061,-15.949,-1.4368,9581597.0,7735862.225
000016.SH,20040213,1096.362,1094.002,1105.819,1088.859,1094.112,2.25,0.2056,6904821.0,5758474.874
000016.SH,20040216,1123.748,1098.858,1124.355,1098.858,1096.362,27.386,2.4979,7623410.0,6197794.454
000016.SH,20040217,1123.618,1127.098,1132.714,1121.277,1123.748,-0.13,-0.0116,8815897.0,7856931.164
000016.SH,20040218,1129.275,1123.701,1136.532,1119.628,1123.618,5.657,0.5035,8093711.0,7208809.235
000016.SH,20040219,1122.38,1130.396,1138.082,1119.669,1129.275,-6.895,-0.6106,7130805.0,6217181.258
000016.SH,20040220,1124.661,1122.93,1125.372,1112.944,1122.38,2.281,0.2032,5988759.0,5258601.253
000016.SH,20040223,1093.137,1126.231,1129.52,1092.014,1124.661,-31.524,-2.803,8802509.0,7258275.895
000016.SH,20040224,1093.102,1090.25,1095.937,1072.329,1093.137,-0.035,-0.0032,8449382.0,6881090.367
000016.SH,20040225,1070.362,1094.431,1104.349,1067.127,1093.102,-22.74,-2.0803,8064055.0,6373129.92
000016.SH,20040226,1079.897,1068.125,1080.232,1061.197,1070.362,9.535,0.8908,8100890.0,6041586.122
000016.SH,20040227,1088.725,1081.715,1090.892,1079.934,1079.897,8.828,0.8175,7293069.0,5654382.402
000016.SH,20040301,1094.242,1089.653,1095.233,1076.076,1088.725,5.517,0.5067,6441715.0,5297533.595
000016.SH,20040302,1093.391,1096.105,1099.714,1086.724,1094.242,-0.851,-0.0778,5577318.0,4608231.808
000016.SH,20040303,1072.639,1093.358,1093.742,1067.944,1093.391,-20.752,-1.8979,5214819.0,4177177.058
000016.SH,20040304,1078.348,1070.9,1079.269,1061.888,1072.639,5.709,0.5322,4810433.0,3854363.357
