,Strategy,Benchmark
Total Return,10.02820245191512,3.4543087086386883
Annualized Return,0.1802066597792824,0.1086170302081344
Annualized Volatility,0.29014829470315223,0.28643629648370145
sharpe,0.517689273111039,0.27446601975112395
Average Return,0.0008568478087163305,0.0005946837317018889
Volatility,0.018614354548707388,0.018376212701236877
Max Drawback,-0.7096056196404893,-0.7191076418671289
Information Ratio,0.9676204673957645,
alpha,0.0731648488256943,
beta,0.979963383882907,
Active Risk,0.0047464950073906,
Annualized Active Risk,0.07398523696364442,
