,Strategy,Benchmark
Total Return,3.9548343151666208,0.4735802561950986
Annualized Return,0.19275069586139804,0.04362503463444889
Annualized Volatility,0.2171093178409562,0.2584082680140132
sharpe,0.7496255687221188,0.052726775111197374
Average Return,0.0008231704136216349,0.00031406180581239796
Volatility,0.013928537845303252,0.016578050985398447
Max Drawback,-0.439282308297389,-0.6097454734015024
Information Ratio,0.7571422587934883,
alpha,0.1550834507915774,
beta,0.5627321526534066,
Active Risk,0.012635777261870379,
Annualized Active Risk,0.19695857613941925,
