,Strategy,Benchmark
Total Return,22.920261794588555,3.6339172784915696
Annualized Return,0.24499676546904658,0.1116461056071596
Annualized Volatility,0.17399418615192,0.2889313136772936
sharpe,1.2356548814873958,0.28257963655109347
Average Return,0.0009647294522324388,0.0006089509066558444
Volatility,0.011162531469499777,0.01853627958942645
Max Drawback,-0.303634667236534,-0.7193140670750842
Information Ratio,0.3884075571723444,
alpha,0.21701102422806828,
beta,-0.024670604238165382,
Active Risk,0.022025990979517525,
Annualized Active Risk,0.34332663564194393,
